iter	Passed	Remaining
0	75	37478
1	98	24451
2	116	19265
3	137	17077
4	151	14970
5	165	13612
6	179	12637
7	196	12099
8	213	11626
9	230	11296
10	252	11233
11	268	10901
12	282	10593
13	304	10562
14	335	10852
15	381	11537
16	414	11778
17	432	11571
18	448	11365
19	464	11149
20	488	11143
21	508	11044
22	525	10892
23	542	10762
24	558	10609
25	577	10526
26	595	10438
27	610	10287
28	624	10149
29	651	10199
30	667	10102
31	684	10013
32	701	9925
33	720	9875
34	735	9767
35	753	9711
36	765	9583
37	781	9500
38	795	9404
39	808	9300
40	820	9186
41	834	9101
42	860	9142
43	893	9258
44	911	9217
45	928	9160
46	947	9129
47	973	9164
48	987	9091
49	1002	9018
50	1016	8947
51	1029	8871
52	1051	8867
53	1066	8810
54	1078	8725
55	1094	8677
56	1110	8632
57	1131	8624
58	1147	8574
59	1158	8493
60	1178	8478
61	1215	8589
62	1248	8657
63	1262	8600
64	1277	8551
65	1295	8517
66	1314	8497
67	1333	8470
68	1364	8524
69	1392	8551
70	1412	8535
71	1433	8522
72	1455	8511
73	1492	8594
74	1518	8607
75	1543	8608
76	1574	8648
77	1581	8556
78	1588	8466
79	1597	8385
80	1623	8399
81	1633	8328
82	1660	8344
83	1686	8352
84	1718	8390
85	1736	8359
86	1747	8297
87	1769	8283
88	1780	8223
89	1793	8169
90	1806	8118
91	1824	8092
92	1841	8058
93	1858	8028
94	1872	7984
95	1890	7955
96	1907	7923
97	1922	7885
98	1936	7845
99	1952	7809
100	1967	7774
101	1984	7744
102	1987	7660
103	2005	7637
104	2022	7606
105	2037	7573
106	2042	7500
107	2067	7503
108	2085	7481
109	2100	7447
110	2113	7406
111	2129	7375
112	2132	7304
113	2155	7299
114	2171	7268
115	2185	7235
116	2198	7197
117	2213	7164
118	2234	7153
119	2253	7137
120	2270	7112
121	2284	7079
122	2299	7047
123	2312	7011
124	2329	6987
125	2344	6959
126	2362	6937
127	2391	6950
128	2405	6917
129	2421	6891
130	2434	6858
131	2455	6844
132	2474	6827
133	2501	6833
134	2521	6818
135	2533	6781
136	2546	6748
137	2561	6718
138	2572	6681
139	2590	6662
140	2609	6645
141	2631	6633
142	2652	6622
143	2669	6598
144	2683	6569
145	2703	6555
146	2710	6508
147	2724	6480
148	2739	6453
149	2743	6401
150	2757	6373
151	2760	6320
152	2776	6296
153	2790	6269
154	2806	6247
155	2821	6222
156	2836	6197
157	2851	6173
158	2868	6152
159	2883	6128
160	2903	6113
161	2919	6091
162	2925	6047
163	2944	6032
164	2975	6040
165	2987	6010
166	3019	6021
167	3047	6022
168	3079	6031
169	3092	6004
170	3106	5976
171	3117	5944
172	3132	5920
173	3137	5878
174	3155	5860
175	3170	5837
176	3175	5794
177	3190	5771
178	3202	5743
179	3217	5719
180	3234	5699
181	3236	5655
182	3250	5630
183	3266	5610
184	3280	5586
185	3294	5562
186	3309	5538
187	3322	5514
188	3336	5490
189	3355	5475
190	3360	5436
191	3375	5414
192	3389	5391
193	3403	5369
194	3416	5343
195	3441	5337
196	3459	5321
197	3475	5300
198	3488	5276
199	3503	5254
200	3517	5232
201	3530	5208
202	3544	5186
203	3558	5163
204	3572	5141
205	3589	5122
206	3613	5115
207	3639	5108
208	3663	5100
209	3690	5096
210	3711	5083
211	3725	5060
212	3738	5037
213	3765	5032
214	3796	5032
215	3810	5010
216	3835	5002
217	3848	4978
218	3863	4957
219	3880	4939
220	3895	4917
221	3908	4894
222	3936	4889
223	3950	4867
224	3964	4844
225	3982	4828
226	3995	4804
227	4020	4795
228	4043	4785
229	4063	4770
230	4077	4748
231	4089	4724
232	4101	4700
233	4105	4666
234	4120	4646
235	4136	4626
236	4151	4606
237	4171	4591
238	4187	4572
239	4206	4556
240	4221	4536
241	4236	4516
242	4250	4495
243	4266	4476
244	4281	4456
245	4295	4435
246	4308	4413
247	4327	4396
248	4350	4385
249	4363	4363
250	4376	4341
251	4389	4320
252	4403	4298
253	4418	4279
254	4445	4271
255	4465	4255
256	4478	4234
257	4492	4213
258	4504	4191
259	4529	4181
260	4545	4162
261	4559	4141
262	4574	4122
263	4591	4104
264	4614	4091
265	4634	4076
266	4648	4056
267	4660	4034
268	4672	4012
269	4686	3991
270	4700	3971
271	4714	3951
272	4728	3932
273	4741	3911
274	4755	3890
275	4767	3869
276	4781	3849
277	4794	3828
278	4813	3812
279	4835	3799
280	4849	3779
281	4864	3760
282	4877	3740
283	4890	3719
284	4903	3699
285	4916	3679
286	4929	3658
287	4941	3637
288	4958	3619
289	4972	3600
290	4985	3580
291	4998	3560
292	5014	3542
293	5041	3532
294	5055	3513
295	5067	3492
296	5081	3473
297	5094	3453
298	5107	3433
299	5124	3416
300	5140	3398
301	5156	3380
302	5168	3360
303	5180	3340
304	5194	3320
305	5218	3308
306	5246	3298
307	5261	3279
308	5278	3262
309	5293	3244
310	5305	3223
311	5317	3204
312	5333	3186
313	5353	3171
314	5381	3160
315	5411	3150
316	5442	3141
317	5461	3125
318	5477	3108
319	5524	3107
320	5552	3096
321	5591	3090
322	5618	3078
323	5651	3070
324	5690	3064
325	5752	3070
326	5802	3069
327	5850	3067
328	5873	3052
329	5894	3036
330	5913	3019
331	5925	2998
332	5939	2978
333	5955	2959
334	5968	2939
335	5979	2918
336	6005	2904
337	6019	2884
338	6034	2865
339	6047	2845
340	6065	2828
341	6077	2807
342	6091	2788
343	6111	2771
344	6131	2754
345	6155	2739
346	6178	2724
347	6199	2707
348	6216	2689
349	6241	2675
350	6261	2658
351	6286	2643
352	6303	2624
353	6319	2606
354	6339	2589
355	6354	2570
356	6374	2553
357	6397	2537
358	6409	2517
359	6427	2499
360	6445	2481
361	6461	2463
362	6477	2444
363	6502	2429
364	6518	2410
365	6537	2393
366	6554	2375
367	6569	2356
368	6583	2337
369	6598	2318
370	6618	2301
371	6640	2284
372	6676	2273
373	6700	2257
374	6721	2240
375	6736	2221
376	6752	2203
377	6774	2186
378	6791	2168
379	6807	2149
380	6829	2133
381	6844	2114
382	6859	2095
383	6875	2077
384	6890	2058
385	6907	2040
386	6931	2023
387	6959	2008
388	6984	1992
389	7000	1974
390	7017	1956
391	7030	1936
392	7049	1919
393	7062	1900
394	7077	1881
395	7091	1862
396	7107	1844
397	7144	1830
398	7173	1815
399	7212	1803
400	7228	1784
401	7249	1767
402	7272	1750
403	7288	1732
404	7306	1713
405	7322	1695
406	7337	1676
407	7354	1658
408	7369	1639
409	7383	1620
410	7398	1602
411	7413	1583
412	7437	1566
413	7450	1547
414	7463	1528
415	7480	1510
416	7496	1492
417	7511	1473
418	7525	1454
419	7538	1435
420	7549	1416
421	7561	1397
