Train Name,Date,Station Name,Scheduled Arrival Time,Actual Arrival Time,Scheduled Departure Time,Actual Departure Time,Distance Between Stations (km),Average Speed (km/h),Weather Condition,Temperature (C),Rainfall (mm),Visibility (km),Traffic Congestion,Platform Number,Cause of Delay (if any)
New Delhi Rajdhani Express (12302),2000-01-01,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,17.6,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-01,Kanpur Central,21:00,21:01,21:05,21:06,439,107.5,Clear,17.6,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-01,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Clear,17.6,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-01,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Clear,17.6,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-01,Dhanbad Jn,03:00,03:01,03:05,03:06,199,120.6,Clear,17.6,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-01,Howrah Jn,09:55,09:56,None,None,259,37.9,Clear,17.6,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-02,New Delhi,None,None,16:55,16:59,N/A,N/A,Mist,8.0,N/A,1.4,None,1,None
New Delhi Rajdhani Express (12302),2000-01-02,Kanpur Central,21:00,21:01,21:05,21:06,439,108.8,Mist,8.0,N/A,1.4,None,5,None
New Delhi Rajdhani Express (12302),2000-01-02,Pt Deen Dayal Upadhyaya Jn,23:35,23:50,23:45,00:00,347,127.0,Mist,8.0,N/A,1.4,Low,2,Reduced visibility due to mist (1.4 km) - speed restriction
New Delhi Rajdhani Express (12302),2000-01-02,Gaya Jn,01:15,01:30,01:20,01:35,203,130,Mist,8.0,N/A,1.4,Low,4,Reduced visibility due to mist (1.4 km) - speed restriction
New Delhi Rajdhani Express (12302),2000-01-02,Dhanbad Jn,03:00,03:13,03:05,03:18,199,121.8,Mist,8.0,N/A,1.4,Low,2,Reduced visibility due to mist (1.4 km) - speed restriction
New Delhi Rajdhani Express (12302),2000-01-02,Howrah Jn,09:55,10:09,None,None,259,37.8,Mist,8.0,N/A,1.4,Low,3,Reduced visibility due to mist (1.4 km) - speed restriction
New Delhi Rajdhani Express (12302),2000-01-03,New Delhi,None,None,16:55,16:55,N/A,N/A,Cloudy,7.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-03,Kanpur Central,21:00,21:02,21:05,21:07,439,106.6,Cloudy,7.2,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-03,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Cloudy,7.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-03,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Cloudy,7.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-03,Dhanbad Jn,03:00,03:02,03:05,03:07,199,119.4,Cloudy,7.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-03,Howrah Jn,09:55,09:56,None,None,259,38.0,Cloudy,7.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-04,New Delhi,None,None,16:55,17:11,N/A,N/A,Cold Wave,5.9,N/A,N/A,Low,2,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-04,Kanpur Central,21:00,21:17,21:05,21:22,439,107.1,Cold Wave,5.9,N/A,N/A,Low,1,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-04,Pt Deen Dayal Upadhyaya Jn,23:35,23:50,23:45,00:00,347,130,Cold Wave,5.9,N/A,N/A,Low,2,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-04,Gaya Jn,01:15,01:31,01:20,01:36,203,130,Cold Wave,5.9,N/A,N/A,Low,3,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-04,Dhanbad Jn,03:00,03:16,03:05,03:21,199,119.4,Cold Wave,5.9,N/A,N/A,Low,5,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-04,Howrah Jn,09:55,10:13,None,None,259,37.7,Cold Wave,5.9,N/A,N/A,Low,1,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-05,New Delhi,None,None,16:55,16:57,N/A,N/A,Fog,16.8,N/A,0.95,None,2,None
New Delhi Rajdhani Express (12302),2000-01-05,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,Fog,16.8,N/A,0.95,None,2,None
New Delhi Rajdhani Express (12302),2000-01-05,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Fog,16.8,N/A,0.95,None,4,None
New Delhi Rajdhani Express (12302),2000-01-05,Gaya Jn,01:15,01:47,01:20,01:52,203,99.8,Fog,16.8,N/A,0.95,Medium,1,Speed restriction due to shallow fog (visibility 0.95 km)
New Delhi Rajdhani Express (12302),2000-01-05,Dhanbad Jn,03:00,03:28,03:05,03:33,199,124.4,Fog,16.8,N/A,0.95,Medium,5,Speed restriction due to shallow fog (visibility 0.95 km)
New Delhi Rajdhani Express (12302),2000-01-05,Howrah Jn,09:55,10:18,None,None,259,38.4,Fog,16.8,N/A,0.95,Medium,5,Speed restriction due to shallow fog (visibility 0.95 km)
New Delhi Rajdhani Express (12302),2000-01-06,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,12.7,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-06,Kanpur Central,21:00,21:02,21:05,21:07,439,107.1,Clear,12.7,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-06,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Clear,12.7,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-06,Gaya Jn,01:15,01:18,01:20,01:23,203,130,Clear,12.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-06,Dhanbad Jn,03:00,03:03,03:05,03:08,199,119.4,Clear,12.7,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-06,Howrah Jn,09:55,09:55,None,None,259,38.2,Clear,12.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-07,New Delhi,None,None,16:55,16:57,N/A,N/A,Mist,7.1,N/A,3.33,None,3,None
New Delhi Rajdhani Express (12302),2000-01-07,Kanpur Central,21:00,21:00,21:05,21:05,439,108.4,Mist,7.1,N/A,3.33,None,4,None
New Delhi Rajdhani Express (12302),2000-01-07,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Mist,7.1,N/A,3.33,None,2,None
New Delhi Rajdhani Express (12302),2000-01-07,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Mist,7.1,N/A,3.33,None,2,None
New Delhi Rajdhani Express (12302),2000-01-07,Dhanbad Jn,03:00,03:00,03:05,03:05,199,120.6,Mist,7.1,N/A,3.33,None,1,None
New Delhi Rajdhani Express (12302),2000-01-07,Howrah Jn,09:55,09:55,None,None,259,37.9,Mist,7.1,N/A,3.33,Low,1,None
New Delhi Rajdhani Express (12302),2000-01-08,New Delhi,None,None,16:55,16:57,N/A,N/A,Clear,9.8,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-08,Kanpur Central,21:00,21:02,21:05,21:07,439,107.5,Clear,9.8,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-08,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Clear,9.8,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-08,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Clear,9.8,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-08,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,Clear,9.8,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-08,Howrah Jn,09:55,09:56,None,None,259,37.8,Clear,9.8,N/A,N/A,Low,3,None
New Delhi Rajdhani Express (12302),2000-01-09,New Delhi,None,None,16:55,16:55,N/A,N/A,Fog,16.3,N/A,0.68,None,4,None
New Delhi Rajdhani Express (12302),2000-01-09,Kanpur Central,21:00,21:02,21:05,21:07,439,106.6,Fog,16.3,N/A,0.68,None,4,None
New Delhi Rajdhani Express (12302),2000-01-09,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Fog,16.3,N/A,0.68,None,5,None
New Delhi Rajdhani Express (12302),2000-01-09,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Fog,16.3,N/A,0.68,None,3,None
New Delhi Rajdhani Express (12302),2000-01-09,Dhanbad Jn,03:00,03:01,03:05,03:06,199,120.6,Fog,16.3,N/A,0.68,None,1,None
New Delhi Rajdhani Express (12302),2000-01-09,Howrah Jn,09:55,12:29,None,None,259,27.6,Fog,16.3,N/A,0.68,Medium,3,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-10,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,9.3,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-10,Kanpur Central,21:00,21:17,21:05,21:22,439,100.9,Clear,9.3,N/A,N/A,None,5,Chain pulling
New Delhi Rajdhani Express (12302),2000-01-10,Pt Deen Dayal Upadhyaya Jn,23:35,23:51,23:45,00:01,347,130,Clear,9.3,N/A,N/A,None,4,Chain pulling
New Delhi Rajdhani Express (12302),2000-01-10,Gaya Jn,01:15,01:31,01:20,01:36,203,130,Clear,9.3,N/A,N/A,None,5,Chain pulling
New Delhi Rajdhani Express (12302),2000-01-10,Dhanbad Jn,03:00,03:15,03:05,03:20,199,120.6,Clear,9.3,N/A,N/A,None,4,Chain pulling
New Delhi Rajdhani Express (12302),2000-01-10,Howrah Jn,09:55,10:10,None,None,259,37.9,Clear,9.3,N/A,N/A,None,5,Chain pulling
New Delhi Rajdhani Express (12302),2000-01-11,New Delhi,None,None,16:55,16:55,N/A,N/A,Clear,17.8,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-11,Kanpur Central,21:00,21:00,21:05,21:05,439,107.5,Clear,17.8,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-11,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Clear,17.8,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-11,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Clear,17.8,N/A,N/A,Low,1,None
New Delhi Rajdhani Express (12302),2000-01-11,Dhanbad Jn,03:00,03:01,03:05,03:06,199,119.4,Clear,17.8,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-11,Howrah Jn,09:55,09:56,None,None,259,37.9,Clear,17.8,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-12,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,7.7,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-12,Kanpur Central,21:00,21:03,21:05,21:08,439,106.6,Clear,7.7,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-12,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Clear,7.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-12,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Clear,7.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-12,Dhanbad Jn,03:00,03:03,03:05,03:08,199,118.2,Clear,7.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-12,Howrah Jn,09:55,09:56,None,None,259,38.1,Clear,7.7,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-13,New Delhi,None,None,16:55,16:56,N/A,N/A,Fog,13.0,N/A,0.65,None,4,None
New Delhi Rajdhani Express (12302),2000-01-13,Kanpur Central,21:00,21:01,21:05,21:06,439,107.5,Fog,13.0,N/A,0.65,None,3,None
New Delhi Rajdhani Express (12302),2000-01-13,Pt Deen Dayal Upadhyaya Jn,23:35,23:50,23:45,00:00,347,127.0,Fog,13.0,N/A,0.65,None,4,Speed restriction due to shallow fog (visibility 0.65 km)
New Delhi Rajdhani Express (12302),2000-01-13,Gaya Jn,01:15,01:30,01:20,01:35,203,130,Fog,13.0,N/A,0.65,None,4,Speed restriction due to shallow fog (visibility 0.65 km)
New Delhi Rajdhani Express (12302),2000-01-13,Dhanbad Jn,03:00,03:15,03:05,03:20,199,119.4,Fog,13.0,N/A,0.65,None,2,Speed restriction due to shallow fog (visibility 0.65 km)
New Delhi Rajdhani Express (12302),2000-01-13,Howrah Jn,09:55,10:12,None,None,259,37.7,Fog,13.0,N/A,0.65,None,1,Speed restriction due to shallow fog (visibility 0.65 km)
New Delhi Rajdhani Express (12302),2000-01-14,New Delhi,None,None,16:55,16:56,N/A,N/A,Mist,10.3,N/A,1.63,None,3,None
New Delhi Rajdhani Express (12302),2000-01-14,Kanpur Central,21:00,21:00,21:05,21:05,439,108.0,Mist,10.3,N/A,1.63,None,4,None
New Delhi Rajdhani Express (12302),2000-01-14,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Mist,10.3,N/A,1.63,None,3,None
New Delhi Rajdhani Express (12302),2000-01-14,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Mist,10.3,N/A,1.63,None,2,None
New Delhi Rajdhani Express (12302),2000-01-14,Dhanbad Jn,03:00,03:02,03:05,03:07,199,117.1,Mist,10.3,N/A,1.63,None,2,None
New Delhi Rajdhani Express (12302),2000-01-14,Howrah Jn,09:55,09:55,None,None,259,38.1,Mist,10.3,N/A,1.63,None,2,None
New Delhi Rajdhani Express (12302),2000-01-15,New Delhi,None,None,16:55,16:55,N/A,N/A,Fog,6.1,N/A,0.77,None,4,None
