Train_ID,Station_Code,Station_Name,Train_Priority,Weather_Condition,Time_of_Day,Day_of_Week,Network_Congestion,Active_Incident,Scheduled_Arrival_Mins,Actual_Arrival_Mins,Delay_Minutes,Distance_From_Source_Km,Journey_Date
12313,SDAH,SEALDAH,RAJDHANI,RAIN,EVENING,SUNDAY,LOW,TRACK_MAINTENANCE,0,14.78,14.78,0.0,2023-01-01
12313,DGR,DURGAPUR,RAJDHANI,RAIN,EVENING,SUNDAY,LOW,TRACK_MAINTENANCE,108,130.84,22.84,161.8,2023-01-01
12313,ASN,ASANSOL JN,RAJDHANI,RAIN,EVENING,SUNDAY,LOW,TRACK_MAINTENANCE,136,167.38,31.38,204.3,2023-01-01
12313,DHN,DHANBAD JN,RAJDHANI,RAIN,NIGHT,SUNDAY,LOW,TRACK_MAINTENANCE,210,253.48,43.48,261.7,2023-01-01
12313,GAYA,GAYA JN,RAJDHANI,RAIN,NIGHT,SUNDAY,LOW,TRACK_MAINTENANCE,367,416.16,49.16,455.8,2023-01-01
12313,DDU,PT. DD UPADHYAYA JN,RAJDHANI,CLEAR,NIGHT,SUNDAY,LOW,TRACK_MAINTENANCE,503,562.31,59.31,656.8,2023-01-01
12313,CNB,KANPUR CENTRAL,RAJDHANI,RAIN,MORNING,SUNDAY,LOW,TRACK_MAINTENANCE,865,931.22,66.22,992.4,2023-01-01
12313,NDLS,NEW DELHI,RAJDHANI,RAIN,MORNING,SUNDAY,LOW,NO,1080,1148.42,68.42,1430.5,2023-01-01
12313,SDAH,SEALDAH,RAJDHANI,MONSOON_STORM,EVENING,MONDAY,MEDIUM,SIGNAL_FAILURE,0,41.37,41.37,0.0,2023-01-02
12313,DGR,DURGAPUR,RAJDHANI,RAIN,EVENING,MONDAY,HIGH,SIGNAL_FAILURE,108,167.58,59.58,161.8,2023-01-02
12313,ASN,ASANSOL JN,RAJDHANI,RAIN,EVENING,MONDAY,MEDIUM,SIGNAL_FAILURE,136,217.21,81.21,204.3,2023-01-02
12313,DHN,DHANBAD JN,RAJDHANI,RAIN,NIGHT,MONDAY,LOW,SIGNAL_FAILURE,210,309.42,99.42,261.7,2023-01-02
12313,GAYA,GAYA JN,RAJDHANI,RAIN,NIGHT,MONDAY,MEDIUM,SIGNAL_FAILURE,367,484.05,117.05,455.8,2023-01-02
12313,DDU,PT. DD UPADHYAYA JN,RAJDHANI,RAIN,NIGHT,MONDAY,MEDIUM,SIGNAL_FAILURE,503,623,120,656.8,2023-01-02
12313,CNB,KANPUR CENTRAL,RAJDHANI,RAIN,MORNING,MONDAY,MEDIUM,SIGNAL_FAILURE,865,985,120,992.4,2023-01-02
